Sl.No,State_Name,Crop_Year,Area(m^2),X1,X2,X3,X4,Yield (kg)
1,Andhra Pradesh,1999,37991,96800,75400,643.72,881.473,105082
2,Andhra Pradesh,2000,39905,105082,96800,767.351,643.72,117680
3,Andhra Pradesh,2001,32878,117680,105082,579.338,767.351,95609
4,Andhra Pradesh,2002,29066,95609,117680,540.07,579.338,66329
5,Andhra Pradesh,2005,25008,85051,44891,819.7,564.5,69972
6,Andhra Pradesh,2006,22349,69972,85051,494.6,819.7,67427
7,Andhra Pradesh,2007,30000,67427,69972,689.9,494.6,95000
8,Andhra Pradesh,2008,30306,95000,67427,867.1,689.9,94615
9,Andhra Pradesh,1999,37542,105400,84400,792.083,981.825,75477
10,Andhra Pradesh,2001,24377,89236,75477,811.87,926.468,55311
11,Andhra Pradesh,2002,20137,55311,89236,737.593,811.87,50020
12,Andhra Pradesh,1999,244655,386600,429300,774.738,1169.204,628606
13,Andhra Pradesh,2000,253966,628606,386600,1264.862,774.738,683423
14,Andhra Pradesh,2001,220811,683423,628606,1012.914,1264.862,579850
15,Andhra Pradesh,2002,194809,579850,683423,788.48,1012.914,551115
16,Andhra Pradesh,1999,302886,921400,845300,547.044,828.523,969414
17,Andhra Pradesh,2000,292899,969414,921400,870.519,547.044,987363
18,Andhra Pradesh,2001,272468,987363,969414,793.426,870.519,935110
19,Andhra Pradesh,2005,288879,833961,482990,952.7,759.5,892636
20,Andhra Pradesh,2006,288638,892636,833961,852.6,952.7,783941
21,Andhra Pradesh,2007,283000,783941,892636,1008.6,852.6,976000
22,Andhra Pradesh,2008,281491,976000,783941,964.5,1008.6,959321
23,Andhra Pradesh,2009,190526,959321,976000,643.6,964.5,683226
24,Andhra Pradesh,2010,271072,683226,959321,1485.1,643.6,649760
25,Andhra Pradesh,1999,278415,759900,699400,603.997,916.83,834490
26,Andhra Pradesh,2000,281343,834490,759900,1099.234,603.997,868787
27,Andhra Pradesh,2001,245114,868787,834490,892.3,1099.234,714507
28,Andhra Pradesh,2005,254919,804849,526565,1159.5,886.9,697203
29,Andhra Pradesh,2006,251433,697203,804849,1267.3,1159.5,521221
30,Andhra Pradesh,2007,261000,521221,697203,979.9,1267.3,944000
31,Andhra Pradesh,2010,260350,784310,959395,1805.2,736.1,722978
32,Andhra Pradesh,2000,93188,225431,221700,625.827,485.358,307427
33,Andhra Pradesh,2001,43617,307427,225431,508.366,625.827,121779
34,Andhra Pradesh,2002,47948,121779,307427,456.19,508.366,100499
35,Andhra Pradesh,2005,88555,210702,100635,838.2,643.5,292586
36,Andhra Pradesh,2006,80692,292586,210702,600.8,838.2,270238
37,Andhra Pradesh,2007,90000,270238,292586,1082.2,600.8,332000
38,Andhra Pradesh,2010,104110,256454,279856,823.2,767.9,291475
39,Andhra Pradesh,1999,70189,206700,124300,537.745,750.161,190583
40,Andhra Pradesh,2000,50601,190583,206700,729.527,537.745,156559
41,Andhra Pradesh,2001,40841,156559,190583,714.372,729.527,134204
42,Andhra Pradesh,2002,19256,134204,156559,616.048,714.372,46927
43,Andhra Pradesh,2005,54390,95446,41992,958.8,757.8,144351
44,Andhra Pradesh,2006,41191,144351,95446,869,958.8,124809
45,Andhra Pradesh,2008,47434,173000,124809,937.7,899.8,167774
46,Andhra Pradesh,2009,32959,167774,173000,635.1,937.7,117730
47,Andhra Pradesh,2010,48878,117730,167774,1403,635.1,143300
48,Andhra Pradesh,1999,189027,370700,278500,792.555,1302.844,323525
49,Andhra Pradesh,2001,178771,399155,323525,940.191,843.453,393654
50,Andhra Pradesh,2002,153148,393654,399155,743.58,940.191,267550
51,Andhra Pradesh,2005,153521,448561,421799,1155.5,1042.8,271425
52,Andhra Pradesh,2006,193994,271425,448561,1358.5,1155.5,491775
53,Andhra Pradesh,2007,201000,491775,271425,1213.6,1358.5,613000
54,Andhra Pradesh,2008,203172,613000,491775,1047.9,1213.6,408376
55,Andhra Pradesh,2009,177058,408376,613000,874.3,1047.9,371822
56,Andhra Pradesh,2010,205853,371822,408376,1700.5,874.3,167482
57,Andhra Pradesh,1999,132185,295600,185600,921.461,1421.185,250846
58,Andhra Pradesh,2000,129907,250846,295600,1010.49,921.461,214347
59,Andhra Pradesh,2001,106296,214347,250846,1082.915,1010.49,199624
60,Andhra Pradesh,2002,93995,199624,214347,874.955,1082.915,115426
61,Andhra Pradesh,2005,94336,291352,228366,1336.5,1034.5,131127
62,Andhra Pradesh,2006,117452,131127,291352,1273.4,1336.5,281532
63,Andhra Pradesh,2007,124000,281532,131127,1224.7,1273.4,362000
